protein1,protein2,weight
IFNA2,IFNAR1,0.999
MYD88,TLR7,0.999
RFC2,RFC4,0.999
UBE2N,UBE2V1,0.999
MYD88,IL1R1,0.999
OR51I1,OR52D1,0.999
OR51I1,OR51I2,0.999
CUL4A,RBX1,0.999
RFC2,DSCC1,0.999
MYD88,TLR9,0.999
MLST8,MTOR,0.999
MLST8,RHEB,0.999
MVK,HMGCR,0.999
MLST8,RPTOR,0.999
MLST8,AKT1S1,0.999
MLST8,MAPKAP1,0.999
CASP3,XIAP,0.999
CASP3,PARP1,0.999
CENPT,CENPO,0.999
CENPT,CENPM,0.999
CENPT,CENPU,0.999
MLST8,PRR5,0.999
MLST8,RICTOR,0.999
MLST8,TTI1,0.999
MLST8,DEPTOR,0.999
RMI1,RPA2,0.999
MLST8,PRR5L,0.999
MYD88,IKBKG,0.999
IFNA16,IFNA17,0.999
RFC2,PCNA,0.999
IFNA16,IFNA10,0.999
IFNA10,IFNA16,0.999
MYD88,IRAK2,0.999
MYD88,TLR2,0.999
CENPT,CENPN,0.999
CENPT,CENPS,0.999
CENPT,CENPX,0.999
CENPT,CENPH,0.999
MVK,MVD,0.999
CENPT,CENPW,0.999
NKX2-5,GATA4,0.999
RFC2,RFC3,0.999
UBE2N,RNF8,0.999
IFNA10,IFNA17,0.999
RFC2,RAD17,0.999
MYD88,MAP3K7,0.999
RFC2,ATAD5,0.999
MYD88,TIRAP,0.999
OR51B6,OR51M1,0.999
MYD88,IRAK1,0.999
OR51B6,OR51I2,0.999
TRAPPC2L,TRAPPC4,0.999
TRAPPC2L,TRAPPC5,0.999
CASP3,APAF1,0.999
CENPT,CENPI,0.999
CENPT,CENPC,0.999
RFC2,CHTF18,0.999
MYD88,TLR5,0.999
CUL4A,DCAF1,0.999
CXCL16,CXCR6,0.999
CUL4A,DDB1,0.999
CUL4A,ERCC8,0.999
MYD88,TLR8,0.999
OR51B4,OR51B2,0.999
MYD88,TLR3,0.999
STAT1,JAK2,0.999
MYD88,TLR4,0.999
TRAPPC2L,TRAPPC10,0.999
NKX2-5,TBX5,0.999
TRAPPC2L,TRAPPC3,0.999
TRAPPC2L,TRAPPC6B,0.999
TRAPPC2L,TRAPPC9,0.999
TRAPPC2L,TRAPPC1,0.999
HSPA9,GRPEL1,0.999
TRAPPC2L,TRAPPC2,0.999
MYD88,IRF7,0.999
MYD88,LY96,0.999
IFNB1,IFNAR2,0.999
BSND,CLCNKA,0.999
UBE2N,OTUB1,0.999
UBE2N,RPS27A,0.999
RNPS1,SAP18,0.999
IL23A,IL12B,0.999
RNPS1,ACIN1,0.999
RNPS1,PNN,0.999
RNPS1,RBM8A,0.999
RNPS1,UPF3A,0.999
RMI1,BLM,0.999
RNPS1,EIF4A3,0.999
BSND,CLCNKB,0.999
IFNB1,IFNAR1,0.999
NLGN3,NRXN2,0.999
NLGN3,NRXN1,0.999
MYD88,IRAK4,0.999
EMC4,MMGT1,0.999
EMC4,EMC7,0.999
NELFE,NELFCD,0.999
GRPR,GRP,0.999
NELFE,NELFB,0.999
NABP2,INTS3,0.999
RNPS1,SRRM1,0.999
RNPS1,UPF2,0.999
RNPS1,UPF3B,0.999
RNPS1,UPF1,0.999
IL23A,IL23R,0.999
LDB1,TAL1,0.999
AVP,AVPR1A,0.999
EMC4,EMC3,0.999
NABP2,INIP,0.999
AVP,AVPR2,0.999
BDP1,TBP,0.999
NELFE,NELFA,0.999
BDP1,BRF2,0.999
CUL4A,CUL4B,0.999
ACTG1,ACTB,0.999
IZUMO1,IZUMO1R,0.999
NUP35,NUP155,0.999
CASP3,CASP8,0.999
KIT,KITLG,0.999
BCL7C,SS18,0.999
FANCM,FAAP24,0.999
FANCM,FANCB,0.999
FANCM,FANCC,0.999
FANCM,FANCE,0.999
BDP1,GTF3C1,0.999
FANCM,RPA1,0.999
EMC4,EMC6,0.999
FANCM,FANCF,0.999
STAT1,IRF9,0.999
FANCM,CENPS,0.999
FANCM,CENPX,0.999
FANCM,FANCA,0.999
UBE2N,RNF168,0.999
UBE2N,STUB1,0.999
CUL4A,CRBN,0.999
CUL4A,DTL,0.999
FANCM,BLM,0.999
COX4I1,UQCRQ,0.999
COX4I1,MT-CO1,0.999
DBT,BCKDHB,0.999
FANCM,FANCG,0.999
FANCM,RMI2,0.999
FANCM,FAAP100,0.999
FANCM,RMI1,0.999
FANCM,FANCL,0.999
COX4I1,COX7C,0.999
COX4I1,COX5A,0.999
P4HB,P4HA2,0.999
FANCM,TOP3A,0.999
FANCM,FAAP20,0.999
EMC4,EMC1,0.999
STAT1,STAT2,0.999
EMC4,EMC10,0.999
CALML5,CAMK2A,0.999
UBE2N,UBC,0.999
CALML5,NOS3,0.999
EMC4,EMC9,0.999
STAT1,KPNA1,0.999
CALML5,RYR2,0.999
CALML5,CACNA1C,0.999
TINF2,TERF2IP,0.999
CUL4A,DET1,0.999
COX4I1,UQCRFS1,0.999
COX4I1,COX5B,0.999
COX4I1,COX6B1,0.999
UCN2,CRHR2,0.999
GLI1,SUFU,0.999
COX4I1,MT-CO3,0.999
TINF2,ACD,0.999
CALML5,RYR1,0.999
TINF2,POT1,0.999
EMC4,EMC2,0.999
TINF2,TERF1,0.999
TINF2,TERF2,0.999
EMC4,EMC8,0.999
GRIN2C,GRIN1,0.999
CALML5,NOS1,0.999
SELPLG,SELP,0.999
COX4I1,CYC1,0.999
COX4I1,COX6A1,0.999
COX4I1,UQCRC2,0.999
COX4I1,COX6C,0.999
COX4I1,MT-CO2,0.999
SNRNP200,LSM7,0.999
MLLT3,AFF1,0.999
RUVBL1,ACTL6A,0.999
MLLT3,ELL2,0.999
RUVBL1,INO80,0.999
MLLT3,ELL,0.999
MLLT3,AFF4,0.999
MLLT3,MLLT1,0.999
RUVBL1,INO80C,0.999
STAT1,STAT3,0.999
METTL4,METTL3,0.999
NUP35,NUP188,0.999
PECAM1,PTPN11,0.999
LDB1,LMO2,0.999
SSTR1,SST,0.999
TUBB2A,TUBA1A,0.999
DUOXA1,DUOX1,0.999
TUBB2A,TUBA1B,0.999
UBL5,SART1,0.999
CHD3,HDAC2,0.999
CHD3,MTA1,0.999
CHD3,GATAD2A,0.999
CHD3,HDAC1,0.999
CHD3,MTA2,0.999
SFTPC,SFTPB,0.999
SFTPC,SFTPA1,0.999
AP2A2,AP2S1,0.999
XPOT,RAN,0.999
PECAM1,CDH5,0.999
LDB1,LHX3,0.999
CHD3,CHD4,0.999
CHD3,RBBP4,0.999
MAX,MXD1,0.999
CHD3,RBBP7,0.999
MAX,MYC,0.999
IL3,CSF2RB,0.999
MYD88,TRAF6,0.999
RUVBL1,TRRAP,0.999
METTL3,METTL14,0.999
METTL3,RBM15B,0.999
RUVBL1,YEATS4,0.999
PKP2,DSG2,0.999
ITFG2,SZT2,0.999
IFNLR1,JAK1,0.999
ITFG2,DEPDC5,0.999
AP2A2,AP2M1,0.999
USP10,G3BP1,0.999
NUP35,NDC1,0.999
SNRNP200,LSM6,0.999
SNRNP200,SF3B5,0.999
PECAM1,KDR,0.999
SKIV2L,TTC37,0.999
RPS6,RPL30,0.999
RPS6,RPS17,0.999
RPS6,RPLP1,0.999
RPS6,RPL4,0.999
RPS6,RPS7,0.999
RPS6,RPS4X,0.999
RPS6,RPS5,0.999
RPS6,RPS28,0.999
IFNLR1,IFNL2,0.999
IFNLR1,IFNL1,0.999
ITFG2,KPTN,0.999
EME2,MUS81,0.999
ITFG2,C12orf66,0.999
AP2A2,AP2B1,0.999
IFNLR1,IL10RB,0.999
ITFG2,NPRL2,0.999
PXN,PARVA,0.999
RPS6,RPS25,0.999
RPS6,RPL10A,0.999
STAT1,JAK1,0.999
PXN,PTPN12,0.999
RPS6,RPL23A,0.999
SELPLG,SELE,0.999
ARPC3,ARPC1B,0.999
INTS5,INTS10,0.999
ARPC3,ACTR3,0.999
ARPC3,ARPC2,0.999
MAPK7,MAP2K5,0.999
BTRC,SKP1,0.999
SNRNP200,SNRPG,0.999
IFNLR1,IFNL3,0.999
RPS6,RPL17,0.999
PKP2,DSP,0.999
RPS6,RPS20,0.999
RPS6,RPL8,0.999
RPS6,RPL24,0.999
PXN,CRK,0.999
RPS6,RPL37A,0.999
RPS6,RPS2,0.999
RPS6,RPS15,0.999
RPS6,RPS8,0.999
INTS5,INTS12,0.999
ARPC3,ARPC4,0.999
INTS5,INTS14,0.999
INTS5,INTS1,0.999
INTS5,INTS2,0.999
ARPC3,ARPC5L,0.999
INTS5,INTS8,0.999
INTS5,INTS4,0.999
RPS6,UBA52,0.999
RPS6,RPL26,0.999
RPS6,RPL11,0.999
RPS6,RPS24,0.999
RPS6,RPL7,0.999
PKP2,DSC2,0.999
RPS6,RPL18,0.999
METTL3,VIRMA,0.999
RPS6,RPL9,0.999
SELL,MADCAM1,0.999
RPS6,RPS21,0.999
RPS6,RPL13,0.999
INTS5,INTS11,0.999
INTS5,INTS3,0.999
INTS5,INTS6,0.999
INTS5,POLR2A,0.999
INTS5,PPP2R1A,0.999
INTS5,INTS9,0.999
METTL3,METTL4,0.999
RPS6,RPL7A,0.999
RPS6,RPS10,0.999
RPS6,RPL36,0.999
RPS6,RPL27A,0.999
RPS6,RPL6,0.999
RPS6,RPL23,0.999
RPS6,RPL35,0.999
SELL,CD34,0.999
RPS6,RPS19,0.999
BTRC,CTNNB1,0.999
ARPC3,ARPC1A,0.999
INTS5,INTS7,0.999
ARPC3,ACTR2,0.999
ARPC3,ARPC5,0.999
RPS6,RPSA,0.999
RPS6,RPL15,0.999
RPS6,RACK1,0.999
RPS6,RPL10,0.999
RPS6,RPL34,0.999
METTL3,ZC3H13,0.999
RPS6,RPL5,0.999
RPS6,RPS18,0.999
RPS6,BYSL,0.999
RPS6,RPS12,0.999
RPS6,RPS16,0.999
IL3RA,IL3,0.999
FGF6,FGFR1,0.999
BTRC,NFKBIA,0.999
INTS5,INTS13,0.999
RPS6,RPL19,0.999
PXN,BCAR1,0.999
PXN,GIT2,0.999
RPS6,RPS14,0.999
PXN,VCL,0.999
RPS6,RPLP2,0.999
RPS6,RPL12,0.999
RUVBL1,RPAP3,0.999
BTRC,RBX1,0.999
SZT2,C12orf66,0.999
SZT2,DEPDC5,0.999
IL3RA,CSF2RB,0.999
PCDHGA4,PCDHGA2,0.999
RPS6,RPS15A,0.999
SKIV2L,WDR61,0.999
RPS6,RPS9,0.999
NCL,NPM1,0.999
MYD88,IL1B,0.999
RPS6,RPS23,0.999
PXN,PTK2B,0.999
PXN,ILK,0.999
RPS6,RPL38,0.999
MFAP1,SF3B1,0.999
RPS6,RPL13A,0.999
INO80E,INO80,0.999
INO80E,NFRKB,0.999
SZT2,ITFG2,0.999
SZT2,KPTN,0.999
SNRNP200,RNF113A,0.999
